team,conf,fg_pct,fg_pct_rk,ft_pct,ft_pct_rk,fg2_pct,fg2_pct_rk,fg3_pct,fg3_pct_rk,ts_pct,ts_pct_rk,ast_rate,ast_rate_rk,fg3_rate,fg3_rate_rk,to_rate,to_rate_rk,ft_rate,ft_rate_rk,orb_rate,orb_rate_rk
Auburn,SEC,0.37229029217719134,44,0.7171428571428572,216,0.4002493765586035,25,0.2857142857142857,61,0.4588477366255144,43,0.43544303797468353,12,0.24410933081998115,9,0.25824175824175827,8,0.3298774740810556,287,0.2885714285714286,102
UAB,Amer,0.4051502145922747,176,0.6338582677165354,4,0.45186862967157415,180,0.25886524822695034,12,0.46132397631504746,51,0.4194915254237288,7,0.24206008583690988,8,0.17188148609381487,300,0.21802575107296138,33,0.3228021978021978,212
South Alabama,SB,0.4033898305084746,166,0.6976127320954907,128,0.45979899497487436,203,0.2864583333333333,62,0.49224299343180666,160,0.45588235294117646,20,0.3254237288135593,167,0.16760674880015833,311,0.31949152542372883,270,0.3395973154362416,272
Arkansas,SEC,0.3745656706045865,50,0.7046979865771812,155,0.4117063492063492,43,0.2877030162412993,66,0.4496471607265687,21,0.5139146567717996,96,0.2995135510771369,89,0.17756872276231983,274,0.207088255733148,20,0.2942453854505972,115
Arizona St.,P12,0.42342342342342343,257,0.7121212121212122,194,0.46454767726161367,215,0.3399503722084367,279,0.5206989478512657,281,0.6054158607350096,299,0.33005733005733007,182,0.19454579042165057,178,0.32432432432432434,282,0.37783711615487314,334
Arizona,P12,0.41442953020134227,225,0.7065217391304348,167,0.4721141374837873,250,0.3087885985748218,158,0.5088926967619948,245,0.5526315789473685,193,0.35318791946308725,258,0.23460642652013658,35,0.3087248322147651,250,0.35075653370013754,293
Cal Poly,BW,0.3965863453815261,142,0.71671388101983,213,0.42496050552922593,85,0.34710743801652894,296,0.5076781433485044,237,0.5518987341772152,191,0.3644578313253012,290,0.2174917760922165,83,0.35441767068273095,323,0.2839313572542902,90
Sacramento St.,BSky,0.4315503173164098,284,0.7450331125827815,295,0.48656716417910445,289,0.3464203233256351,295,0.536864420493899,322,0.5861344537815126,264,0.3925657298277425,341,0.19005426376910373,206,0.27379873073436084,154,0.3574660633484163,306
San Diego St.,MWC,0.4039451114922813,171,0.6853146853146853,86,0.4516574585635359,179,0.3257918552036199,238,0.49619147882090664,181,0.5668789808917197,224,0.379073756432247,321,0.18846115187456028,214,0.24528301886792453,81,0.27146814404432135,51
San Jose St.,MWC,0.4056603773584906,179,0.7938461538461539,342,0.4514991181657848,178,0.3385012919896641,273,0.5300820419325433,308,0.599483204134367,288,0.4056603773584906,346,0.22088068181818182,67,0.34067085953878407,302,0.35084745762711866,294
Stanford,P12,0.35856573705179284,14,0.7342342342342343,264,0.39247943595769685,17,0.2871287128712871,65,0.43580151994558947,10,0.4777777777777778,40,0.3219123505976096,162,0.14908660862563533,349,0.17689243027888446,7,0.23550724637681159,8
California,P12,0.4139072847682119,222,0.7042682926829268,152,0.44100801832760594,138,0.34328358208955223,289,0.49766327496450546,187,0.538,150,0.277317880794702,40,0.19328051923260475,183,0.271523178807947,148,0.31241655540720964,186
UCLA,P12,0.36682027649769583,27,0.7602339181286549,322,0.3813682678311499,6,0.3417085427135678,284,0.4824036002201573,122,0.535175879396985,144,0.36682027649769583,295,0.19851052235513922,159,0.3152073732718894,262,0.2029197080291971,1
UC Riverside,BW,0.43193997856377275,287,0.6791044776119403,70,0.49087893864013266,300,0.3242424242424242,229,0.5209721006356335,283,0.6327543424317618,331,0.3536977491961415,259,0.24552738132843235,18,0.2872454448017149,194,0.31040564373897706,179
UC San Diego,BW,0.3923154701718908,122,0.7338403041825095,263,0.43130990415335463,108,0.325068870523416,233,0.4919798682018973,157,0.5412371134020618,158,0.36703741152679475,297,0.19229081975843007,190,0.2659251769464105,137,0.2737341772151899,59
USC,P12,0.38393731635651324,84,0.7480916030534351,304,0.42589928057553955,88,0.294478527607362,85,0.47347484774879434,90,0.5688775510204082,233,0.31929480901077373,157,0.21704977674880105,85,0.2566111655239961,103,0.27899686520376177,73
Colorado St.,MWC,0.3698146513680494,36,0.7078189300411523,173,0.4170096021947874,57,0.28465346534653463,60,0.45365830053551837,33,0.5441527446300716,165,0.35657546337157986,267,0.1506931886678722,347,0.2144748455428067,26,0.2936400541271989,113
Colorado,P12,0.4037940379403794,169,0.7640117994100295,328,0.44026845637583895,135,0.3287292817679558,246,0.5063049293083683,230,0.4541387024608501,19,0.32700993676603435,169,0.22323084914294195,59,0.3062330623306233,246,0.2561863173216885,27
Connecticut,BE,0.38160136286201024,72,0.7065217391304348,167,0.4166666666666667,56,0.3181818181818182,204,0.4724263570678688,86,0.5625,217,0.35604770017035775,265,0.21030942917753773,109,0.23509369676320271,63,0.2774108322324967,68
Yale,Ivy,0.45181347150259066,331,0.7589041095890411,317,0.497134670487106,314,0.3333333333333333,261,0.5499289267945985,345,0.5229357798165137,113,0.2766839378238342,39,0.19977250106640126,155,0.37823834196891193,337,0.3104693140794224,180
American,Pat,0.41385767790262173,221,0.7126760563380282,196,0.4700139470013947,239,0.29914529914529914,108,0.5072700539127594,234,0.5271493212669683,126,0.32865168539325845,174,0.21935977553883432,77,0.33239700374531833,293,0.32934131736526945,245
George Washington,A10,0.38001958863858964,64,0.7168141592920354,214,0.4188626907073509,66,0.2866666666666667,63,0.4721576536542011,84,0.4845360824742268,50,0.2938295788442703,77,0.2078312437379837,116,0.33202742409402547,292,0.28293413173652693,84
Georgetown,BE,0.3685185185185185,33,0.700374531835206,141,0.39919354838709675,24,0.3005952380952381,121,0.4526171627083542,29,0.5703517587939698,235,0.3111111111111111,130,0.198731331299181,158,0.24722222222222223,85,0.28551136363636365,94
Howard,MEAC,0.35636722606120436,12,0.7368421052631579,275,0.3961038961038961,20,0.2947103274559194,87,0.4688520644961667,72,0.6260387811634349,328,0.39190523198420535,339,0.2135885581420499,99,0.3376110562685094,298,0.3265602322206096,229
Delaware,CAA,0.4057971014492754,180,0.696165191740413,120,0.43219264892268694,110,0.3515625,307,0.5003176620076238,197,0.5777310924369747,249,0.3273657289002558,172,0.19486529936181612,177,0.289002557544757,199,0.3001345895020188,135
Florida A&M,SWAC,0.4462729912875121,325,0.6868008948545862,91,0.5043352601156069,328,0.3284457478005865,245,0.5452638084704964,337,0.5574837310195228,206,0.33010648596321396,183,0.2185959025977327,80,0.43272023233301066,354,0.39144215530903326,347
Florida St.,ACC,0.39253539253539255,123,0.7029702970297029,148,0.4277726001863933,94,0.31392931392931395,183,0.4693834008960956,75,0.5377049180327869,147,0.30952380952380953,126,0.16192160212981543,327,0.19498069498069498,13,0.32049947970863685,205
Jacksonville St.,CUSA,0.42887249736564803,274,0.7377049180327869,279,0.4716417910447761,245,0.32616487455197135,240,0.5135559847021849,259,0.515970515970516,100,0.2939936775553214,78,0.17366000187740543,288,0.2571127502634352,107,0.27816901408450706,71
Stetson,ASun,0.3903966597077244,110,0.7096774193548387,183,0.4369449378330373,124,0.3240506329113924,228,0.5044944225840222,216,0.553475935828877,196,0.4123173277661795,349,0.21250284284739596,102,0.3559498956158664,325,0.3076923076923077,167
Florida,SEC,0.3887445887445887,102,0.6942355889724311,114,0.424090338770389,83,0.3100558659217877,167,0.48325517075517077,126,0.48106904231625836,44,0.30995670995670993,129,0.20304750952346726,133,0.34545454545454546,310,0.336,263
South Florida,Amer,0.37209302325581395,43,0.6619318181818182,30,0.3914081145584726,14,0.32786885245901637,244,0.45956964559048624,45,0.45089285714285715,17,0.30398671096345514,105,0.17637646374281765,278,0.292358803986711,207,0.2976629766297663,130
Georgia Tech,ACC,0.39756283320639757,147,0.6982456140350877,131,0.4351145038167939,118,0.3106060606060606,171,0.4748331479421579,95,0.5210727969348659,109,0.3015993907083016,96,0.17161944252476388,301,0.21706016755521707,32,0.2718204488778055,53
Georgia,SEC,0.37137989778534924,40,0.6470588235294118,12,0.4011220196353436,26,0.32537960954446854,235,0.4661327790683457,64,0.6215596330275229,319,0.39267461669505965,343,0.18598691249284666,232,0.2606473594548552,121,0.31776913099870296,197
Hawaii,BW,0.3687315634218289,34,0.7302904564315352,251,0.4222222222222222,70,0.2631578947368421,16,0.4523436386949708,27,0.5146666666666667,99,0.336283185840708,198,0.18799167052290608,221,0.23697148475909538,70,0.3266871165644172,230
Iowa St.,B12,0.37973568281938325,62,0.7617021276595745,325,0.4312210200927357,107,0.3114754098360656,175,0.4816698966408268,118,0.568445475638051,229,0.4299559471365639,355,0.12997049318533088,357,0.20704845814977973,19,0.2157968970380818,2
Boise St.,MWC,0.3824312333629104,80,0.6869918699186992,93,0.425531914893617,87,0.296,92,0.46225834655613485,56,0.5266821345707656,124,0.33274179236912155,189,0.17388512880875312,286,0.21827861579414373,34,0.2625,36
Idaho,BSky,0.3858520900321543,89,0.734375,265,0.42543859649122806,86,0.27710843373493976,38,0.46717799625109974,67,0.38333333333333336,2,0.26688102893890675,27,0.18477515125054572,237,0.27438370846730975,155,0.2491638795986622,19
Bradley,MVC,0.45646661031276414,339,0.7156549520766773,210,0.5055350553505535,330,0.34864864864864864,301,0.5425071173299413,331,0.6092592592592593,305,0.3127641589180051,133,0.15268938616300554,346,0.26458157227387996,131,0.3158682634730539,192
Northwestern,B10,0.44965934897804694,330,0.7669376693766937,334,0.49303944315545245,303,0.3681917211328976,324,0.552799050803581,347,0.6666666666666666,352,0.3474640423921272,239,0.14125602074842533,353,0.279333838001514,169,0.3618421052631579,315
Southern Illinois,MVC,0.44145873320537427,316,0.7055961070559611,160,0.49032258064516127,297,0.299625468164794,114,0.52746066533643,300,0.5456521739130434,168,0.2562380038387716,15,0.24039656114893407,25,0.3944337811900192,346,0.30126182965299686,140
Illinois Chicago,MVC,0.4022787028921998,163,0.7715231788079471,338,0.4275184275184275,92,0.3394495412844037,276,0.4953370804157377,174,0.5686274509803921,230,0.28659070990359337,59,0.22271307234208726,61,0.26468010517090274,132,0.3073654390934844,166
Indiana,B10,0.387719298245614,97,0.6837944664031621,82,0.42462311557788945,84,0.3023255813953488,126,0.4639101109228655,61,0.4479638009049774,16,0.3017543859649123,98,0.1870956006548346,229,0.2219298245614035,37,0.2618384401114206,33
IUPUI,Horz,0.4273232724384432,267,0.773936170212766,341,0.4760845383759733,264,0.3055555555555556,147,0.5184493555362107,273,0.5204460966542751,106,0.28594122319301035,56,0.16525632310541244,317,0.29864972200158857,229,0.3503355704697987,292
Notre Dame,ACC,0.38614718614718613,90,0.7011494252873564,144,0.43239951278928135,113,0.27245508982035926,30,0.45911295911295913,44,0.5,70,0.2891774891774892,65,0.23079159700516103,43,0.22597402597402597,43,0.2798913043478261,74
Southern Indiana,OVC,0.3762677484787018,57,0.6836734693877551,81,0.42237061769616024,71,0.3049095607235142,143,0.4756311863434227,97,0.5363881401617251,146,0.3924949290060852,340,0.17828726351152235,269,0.29817444219066935,224,0.29493087557603687,119
Bellarmine,ASun,0.43373493975903615,294,0.7296587926509186,248,0.5110132158590308,338,0.3015075376884422,124,0.5350381826349226,316,0.45726495726495725,22,0.36886005560704355,306,0.1876661627482667,225,0.3531047265987025,319,0.3588957055214724,309
Murray St.,MVC,0.45330915684496825,335,0.7052631578947368,159,0.49868073878627966,318,0.3536231884057971,312,0.5385053728427222,325,0.516,101,0.31278331822302813,134,0.2009886821907116,149,0.2583862194016319,111,0.27086614173228346,49
Northern Kentucky,Horz,0.4367311072056239,303,0.7048710601719198,156,0.4993288590604027,322,0.31806615776081426,203,0.5284307349252068,303,0.5311871227364185,137,0.3453427065026362,230,0.1583515796058805,333,0.30667838312829526,247,0.3179791976225854,198
Kentucky,SEC,0.4686985172981878,347,0.737012987012987,276,0.54375,351,0.32367149758454106,225,0.5561236587823819,350,0.6080843585237259,303,0.34102141680395387,214,0.19118739961163186,202,0.25370675453047775,101,0.32428355957767724,218
Louisville,ACC,0.4148550724637681,227,0.6825396825396826,77,0.4782608695652174,269,0.29923273657289,110,0.5021728633510382,208,0.5240174672489083,116,0.3541666666666667,261,0.2588572110223071,6,0.28532608695652173,187,0.2719298245614035,54
Western Kentucky,CUSA,0.3953068592057762,136,0.7315068493150685,254,0.45507246376811594,186,0.2966507177033493,99,0.4993693835724421,194,0.6187214611872146,314,0.37725631768953066,316,0.2388095523820953,26,0.32942238267148016,286,0.3640226628895184,316
LSU,SEC,0.37471952131638,51,0.673352435530086,48,0.41443538998835855,51,0.303347280334728,135,0.46358415629025335,60,0.46107784431137727,26,0.3575168287210172,270,0.24166140947109221,23,0.2610321615557218,123,0.2773393461104848,67
Boston College,ACC,0.45585874799357945,338,0.717391304347826,218,0.5061867266591676,332,0.33053221288515405,252,0.5390931302914939,326,0.551056338028169,186,0.28651685393258425,58,0.25067592020948204,12,0.2953451043338684,219,0.35497237569060774,302
Boston University,Pat,0.375,54,0.7217741935483871,229,0.4015645371577575,28,0.3209549071618037,217,0.46204673135852914,54,0.578088578088578,250,0.32954545454545453,177,0.17073428979829533,302,0.21678321678321677,31,0.3300699300699301,249
Holy Cross,Pat,0.3410565338276182,3,0.6534296028880866,16,0.38896746817538896,11,0.25,5,0.4205249483711944,4,0.532608695652174,139,0.3447636700648749,228,0.16829653433803363,307,0.2567191844300278,104,0.24694708276797828,17
Harvard,Ivy,0.4049429657794677,173,0.7352941176470589,269,0.4570673712021136,192,0.2711864406779661,27,0.4875109553023663,146,0.5563380281690141,203,0.2804182509505703,49,0.18758900208127943,226,0.2908745247148289,202,0.3166144200626959,194
Northeastern,CAA,0.4157416750756811,230,0.7120622568093385,193,0.4830917874396135,282,0.3027027027027027,127,0.5067567567567568,233,0.558252427184466,209,0.37336024217961655,310,0.19414924675931333,180,0.2593340060544904,116,0.3596638655462185,311
Massachusetts,A10,0.4627887082976903,344,0.7668269230769231,333,0.5204216073781291,343,0.35609756097560974,314,0.5720984586254845,356,0.6543438077634011,343,0.35072711719418304,249,0.2166809575676114,86,0.3558597091531223,324,0.35648148148148145,304
Mount St. Mary's,MAAC,0.3801732435033686,66,0.6993006993006993,139,0.4380664652567976,126,0.27851458885941643,43,0.4700216338724632,77,0.5721518987341773,239,0.36284889316650626,286,0.19712718149485817,167,0.27526467757459094,157,0.32428355957767724,218
Towson,CAA,0.41846758349705304,241,0.725752508361204,238,0.4725274725274725,251,0.2827586206896552,55,0.5006263265945231,199,0.4765258215962441,39,0.28487229862475444,54,0.1913390922648358,200,0.293713163064833,214,0.2929936305732484,110
Maryland,B10,0.4113687359760658,205,0.7682539682539683,335,0.4728132387706856,252,0.3054989816700611,146,0.5055570615342911,226,0.6072727272727273,302,0.36724008975317873,300,0.1877133105802048,224,0.2356020942408377,66,0.32622333751568383,227
Michigan St.,B10,0.42083675143560295,249,0.7230320699708455,234,0.4626334519572954,210,0.3271276595744681,243,0.5098837888343845,250,0.5516569200779727,189,0.3084495488105004,123,0.22204302296526815,63,0.28137817883511074,178,0.2496626180836707,20
Michigan,B10,0.41009174311926605,194,0.7210682492581603,227,0.4611032531824611,207,0.31592689295039167,192,0.5079626578802856,239,0.5257270693512305,122,0.3513761467889908,254,0.23670389821732377,33,0.3091743119266055,252,0.26222222222222225,35
Minnesota,B10,0.3936535162950257,129,0.706140350877193,163,0.44308943089430897,144,0.308411214953271,157,0.4781571798597511,102,0.6209150326797386,318,0.3670668953687822,298,0.2111728502728428,107,0.1955403087478559,14,0.24420190995907232,13
Saint Louis,A10,0.4604255319148936,343,0.6975,127,0.512987012987013,339,0.36049382716049383,318,0.5577350111028867,352,0.5933456561922366,275,0.3446808510638298,227,0.2131624927198602,100,0.3404255319148936,301,0.32190760059612517,209
UMKC,Sum,0.40179372197309415,160,0.7035490605427975,149,0.43239951278928135,113,0.3163265306122449,194,0.5000905141202028,195,0.5223214285714286,110,0.26367713004484306,24,0.19978753712064512,154,0.4295964125560538,353,0.307909604519774,170
Missouri,SEC,0.4039334341906203,170,0.7298136645962733,249,0.4654761904761905,221,0.2966804979253112,100,0.4939604285089637,166,0.548689138576779,175,0.36459909228441756,292,0.16821240225495543,308,0.24357034795763993,75,0.2824242424242424,82
Mississippi,SEC,0.369449378330373,35,0.7305194805194806,252,0.38908659549228947,12,0.31095406360424027,173,0.45381761684317334,34,0.5504807692307693,181,0.25133214920071045,11,0.21426080023917485,98,0.27353463587921845,153,0.30148048452220727,142
Montana St.,BSky,0.38116197183098594,69,0.7079646017699115,176,0.42857142857142855,97,0.30504587155963303,144,0.48204114662765724,120,0.5242494226327945,118,0.38380281690140844,327,0.2263478533073274,55,0.2984154929577465,226,0.32786885245901637,236
Montana,BSky,0.41882804995196926,244,0.7383966244725738,283,0.451063829787234,177,0.35119047619047616,306,0.508609248393406,243,0.5252293577981652,121,0.3227665706051873,163,0.16663270949151557,315,0.2276657060518732,47,0.2503937007874016,22
Duke,ACC,0.36268526591107236,18,0.6925287356321839,107,0.37824474660074164,4,0.3254437869822485,236,0.45495800387656526,36,0.4735576923076923,33,0.2946817785527463,80,0.21826446678531916,81,0.30340017436791633,240,0.3180628272251309,199
East Carolina,Amer,0.3869441816461684,94,0.6615853658536586,27,0.42998585572843,102,0.3,117,0.4744780741184697,94,0.6259168704156479,327,0.33112582781456956,186,0.27775773753697425,3,0.31031220435193946,255,0.4083694083694084,353
North Carolina St.,ACC,0.3439194422927963,4,0.7594339622641509,318,0.37320574162679426,2,0.29010989010989013,71,0.42657554829947697,6,0.509009009009009,87,0.35243996901626645,257,0.17271466819659592,296,0.16421378776142526,5,0.2471131639722864,18
